numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
1,0.059,-0.002,1.021,14.908,0.397,-0.900
2,0.082,0.026,1.046,-1.068,0.473,8.591
3,0.062,0.029,1.047,-6.485,11.765,1.007
4,0.063,-0.020,1.048,-6.912,11.978,-0.931
5,0.080,0.044,1.058,-0.473,3.601,2.075
6,0.055,-0.014,1.019,4.257,-2.045,-3.815
7,0.070,0.042,1.042,-2.228,-1.846,2.808
8,0.060,0.036,1.038,-0.397,11.429,-0.244
9,0.072,0.025,1.042,2.426,3.433,0.183
10,0.061,0.051,1.027,-0.824,2.411,5.157
11,0.057,0.053,1.030,5.615,2.777,-1.831
12,0.061,0.031,1.041,4.837,-5.981,2.747
13,0.055,0.037,1.037,12.100,-3.967,1.007
14,0.081,0.063,1.075,-9.827,3.540,-0.015
15,0.054,0.050,1.030,-3.220,12.085,-5.432
16,0.065,0.056,1.061,3.326,4.776,-2.441
17,0.058,0.043,1.043,2.426,2.518,3.708
18,0.048,0.012,1.026,6.149,-3.754,2.701
19,0.068,0.074,1.061,4.745,5.966,2.197
20,0.073,0.052,1.031,5.920,6.668,4.608
21,0.069,0.018,1.059,3.922,-8.850,8.377
22,0.052,0.065,1.047,23.514,4.501,-5.234
23,0.082,0.051,1.065,-7.339,-1.816,1.144
24,0.051,0.029,1.045,6.836,16.113,-3.357
25,0.048,0.048,1.032,29.358,-4.700,-8.209
26,0.046,0.054,1.018,6.454,13.382,-2.960
27,0.028,0.059,0.988,15.259,-23.682,6.943
28,0.066,0.119,1.054,25.070,1.526,8.820
29,0.035,0.072,0.982,-6.897,7.141,12.726
30,0.041,0.073,1.039,-6.195,-2.914,2.411
31,0.068,0.063,1.075,-16.266,16.052,0.031
32,0.010,0.006,1.015,-8.102,18.585,-2.823
33,0.037,0.091,1.037,-3.601,3.220,10.910
34,0.040,0.023,1.027,-2.380,-1.587,0.015
35,0.048,0.083,1.054,1.022,0.336,10.620
36,0.016,0.020,1.016,9.506,9.109,-2.914
37,0.034,0.041,1.037,12.207,10.529,0.900
38,0.045,0.055,1.055,9.506,1.465,-2.228
